OBJECTID,src_FID,nbr_FID,LENGTH,NODE_COUNT
498,78,126,0.00421272611,0
499,78,194,0.00093265291,0
500,78,1030,0.00289154761,0
501,78,1031,0.00284641010,0
502,78,1751,0.00197328921,0
503,79,618,0.00000000000,1
504,79,619,0.00644963372,0
505,79,763,0.00328022143,0
506,79,764,0.00000000000,1
507,79,868,0.00239045534,0
508,79,968,0.00000000000,1
509,79,1875,0.00554894427,0
510,80,83,0.00000000000,1
511,80,84,0.00268482431,0
512,80,716,0.00554698966,0
513,80,1494,0.00554695687,0
514,80,1495,0.00000000000,1
515,80,1747,0.00089425733,0
516,80,1791,0.00179092086,0
517,81,196,0.00289485034,0
518,81,198,0.00290207934,0
519,81,717,0.00287985856,0
520,81,1129,0.00281363129,0
521,81,1517,0.00156117260,0
522,81,1765,0.00669409157,0
523,81,1899,0.00509470315,0
524,81,2114,0.00000000000,1
525,82,83,0.01108951334,0
526,82,716,0.00095456429,0
527,82,966,0.01108857711,0
528,82,967,0.00192193322,0
529,82,1129,0.00093390232,0
530,83,80,0.00000000000,1
531,83,82,0.01108951334,0
532,83,84,0.00554370417,0
533,83,618,0.00554800394,0
534,83,619,0.00000000000,1
535,83,716,0.00172328555,0
536,83,967,0.00174120319,0
537,84,80,0.00268482431,0
538,84,83,0.00554370417,0
539,84,618,0.00268235172,0
540,84,716,0.00000000000,1
541,84,868,0.00000000000,1
542,84,1494,0.00000000000,1
543,84,1495,0.00554396713,0
544,85,798,0.01066442352,0
545,85,1342,0.01090292477,0
546,85,1473,0.00242123237,0
547,85,2099,0.00000000000,1
548,85,2100,0.00133284913,0
549,86,87,0.00449875434,0
550,86,623,0.00000000000,1
551,86,697,0.00372679970,0
552,86,769,0.00137759924,0
553,86,1939,0.00337322137,0
554,86,1941,0.00093277569,0
555,86,2097,0.00458887227,0
556,87,86,0.00449875434,0
557,87,91,0.00279820587,0
558,87,623,0.00445117509,0
559,87,769,0.00231638248,0
560,87,828,0.00229167937,0
561,87,1910,0.00093382915,0
562,87,2097,0.00000000000,1
563,88,90,0.00086594360,0
564,88,92,0.00436151776,0
565,88,93,0.00362018957,0
566,88,94,0.00000000000,1
567,88,1192,0.00148743487,0
568,88,1554,0.00873002658,0
569,88,1555,0.00206599327,0
570,89,67,0.00265792778,0
571,89,76,0.00729507870,0
572,89,96,0.00711997023,0
573,89,916,0.00193581235,0
574,89,2085,0.00479664229,0
575,90,88,0.00086594360,0
576,90,92,0.00413097530,0
577,90,992,0.00413377686,0
578,90,994,0.00346234828,0
579,90,1555,0.00345651068,0
580,90,1558,0.00086411592,0
581,91,87,0.00279820587,0
582,91,576,0.00217056304,0
583,91,720,0.00243269726,0
584,91,828,0.00100609687,0
585,91,829,0.00250257899,0
586,91,1910,0.00479398994,0
587,92,88,0.00436151776,0
588,92,90,0.00413097530,0
589,92,93,0.00425654615,0
590,92,102,0.00345639260,0
591,92,994,0.00086574723,0
592,93,88,0.00362018957,0
593,93,92,0.00425654615,0
594,93,94,0.00477100544,0
595,93,100,0.00259686816,0
596,93,102,0.00086545454,0
597,93,1192,0.00000000000,1
598,94,88,0.00000000000,1
599,94,93,0.00477100544,0
600,94,100,0.00172750220,0
601,94,1192,0.00350424316,0
602,94,1736,0.00488906379,0
603,94,1737,0.00173050381,0
604,95,96,0.00468489572,0
605,95,98,0.00092956137,0
606,95,99,0.00294207044,0
607,95,101,0.00000000000,1
608,95,719,0.00468387101,0
609,95,829,0.00000000000,1
610,95,2085,0.00000000000,1
611,95,2086,0.00387396937,0
612,96,67,0.00079748489,0
613,96,68,0.00017340938,0
614,96,89,0.00711997023,0
615,96,95,0.00468489572,0
616,96,98,0.00591030684,0
